object_id,incident_id,offense_id,offense_code,offense_code_extension,top_traffic_accident_offense,first_occurrence_date,last_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,bicycle_ind,pedestrian_ind,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,road_location,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,POINT_X,POINT_Y,x,y
298170319,2023330492,2.02333E+14,5441,0,TRAF - ACCIDENT               ,"6/22/2023, 3:47 AM","6/22/2023, 3:47 AM","6/22/2023, 3:47 AM",E ALAMEDA AVE / S DOWNING ST,3148153,1684330,-104.9733956,39.71110867,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,Non-Intersection,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,East,Changing Lanes,Lane Violation,Aggressive Driving,,Passenger Car/Passenger Van,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685585.39,4824050.733
298170405,2023331192,2.02333E+14,5441,0,TRAF - ACCIDENT               ,"6/22/2023, 9:07 AM","6/22/2023, 9:07 AM","6/22/2023, 11:04 AM",S GRANT LOGAN ALY / E ALAMEDA AVE,3145329,1684326,-104.9834332,39.7111422,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,North,Going Straight,Failed to Yield ROW,Driver Unfamiliar With Area,,SUV,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686702.09,4824054.316
298170875,2023519568,2.02352E+14,5441,0,TRAF - ACCIDENT               ,"9/26/2023, 7:38 AM","9/26/2023, 7:38 AM","9/26/2023, 7:38 AM",300 BLOCK S LINCOLN ST,3144545,1684274,-104.9862209,39.71101165,3,312,Washington Park West,0,0,Front to Rear,,Front to Rear,On Roadway,Non-Intersection,Straight - Level,Dry,Daylight,Pickup Truck/Utility Van,North,Going Straight,Followed Too Closely,Not Observed,,SUV,North,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11687012.62,4824035.207
298171665,2022467997,2.02247E+14,5401,0,TRAF - ACCIDENT - HIT & RUN   ,"9/10/2022, 10:24 AM","9/10/2022, 10:24 AM","9/10/2022, 11:29 AM",E ALAMEDA AVE / S PEARL ST,3146187,1684322,-104.9803837,39.71111779,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,Intersection Related,Straight - Level,Wet,Daylight,Pickup Truck/Utility Van,South,Making Right Turn,Failed to Yield ROW,Other Factor,,Passenger Car/Passenger Van,West,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686362.9,4824050.733
298172105,2023689391,2.02369E+14,5441,0,TRAF - ACCIDENT               ,"12/27/2023, 6:03 AM","12/27/2023, 6:03 AM","12/27/2023, 6:03 AM",S HUMBOLDT ST / E ALAMEDA AVE,3149147,1684339,-104.9698623,39.71111751,3,312,Washington Park,0,0,Front to Front,,Front to Front,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,North,Going Straight,Failed to Yield ROW,Looked/Did Not See,,SUV,West,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685191.27,4824050.733
298172172,202591112,2.02591E+13,5441,0,TRAF - ACCIDENT               ,"2/22/2025, 12:49 AM","2/22/2025, 12:49 AM","2/22/2025, 1:19 AM",S DOWNING ST / E ALAMEDA AVE,3148153,1684330,-104.9733956,39.71110867,3,312,Washington Park West,0,0,Front to Side,Front to Front,Front to Side,On Roadway,At Intersection,Straight - Level,Dry W/Visible Icy Road Treatment,Daylight,SUV,North,Going Straight,Failed to Stop at Signal,Distracted/Other Interior,,SUV,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685585.39,4824050.733
298172557,2024666095,2.02467E+14,5441,0,TRAF - ACCIDENT               ,"12/10/2024, 6:15 AM","12/10/2024, 6:15 AM","12/10/2024, 6:59 AM",E ALAMEDA AVE / S LAFAYETTE ST,3148822,1684335,-104.9710176,39.71111173,3,312,Washington Park,0,0,Front to Front,,Front to Front,On Roadway,At Intersection,Straight - Level,Icy,Daylight,SUV,West,Going Straight,Careless Driving,Aggressive Driving,,SUV,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685320.25,4824050.733
298173058,2024556154,2.02456E+14,5441,0,TRAF - ACCIDENT               ,"10/11/2024, 8:56 AM","10/11/2024, 8:56 AM","10/11/2024, 8:56 AM",S LOGAN ST / E ALAMEDA AVE,3145512,1684326,-104.9827828,39.71113934,3,312,Washington Park West,0,0,Front to Rear,Front to Rear,Front to Rear,On Roadway,Intersection Related,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,North,Going Straight,Followed Too Closely,Aggressive Driving,,Passenger Car/Passenger Van,North,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686630.43,4824054.316
298173246,2022447133,2.02245E+14,5441,0,TRAF - ACCIDENT               ,"8/30/2022, 12:00 PM","8/30/2022, 12:00 PM","8/30/2022, 12:32 PM",E ALAMEDA AVE / S DOWNING ST,3148153,1684330,-104.9733956,39.71110867,3,312,Washington Park West,0,0,Front to Rear,,Front to Rear,On Roadway,At Intersection,Straight - Level,Dry,Daylight,Pickup Truck/Utility Van,West,Slowing,Followed Too Closely,Distracted/Other Interior,,Pickup Truck/Utility Van,West,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685585.39,4824050.733
298174873,2022437211,2.02244E+14,5401,0,TRAF - ACCIDENT - HIT & RUN   ,"8/25/2022, 10:01 AM","8/25/2022, 10:01 AM","8/25/2022, 11:45 AM",E ALAMEDA AVE / S EMERSON ST,3147165,1684322,-104.9769075,39.71110238,3,312,Washington Park West,0,0,Front to Rear,Front to Rear,Front to Rear,On Roadway,Intersection Related,Straight - Level,Dry,Daylight,SUV,East,Going Straight,Careless Driving,,,SUV,East,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685975.94,4824048.345
298174982,2022432927,2.02243E+14,5441,0,TRAF - ACCIDENT               ,"8/23/2022, 8:00 AM","8/23/2022, 8:00 AM","8/23/2022, 8:18 AM",E ALAMEDA AVE / S MARION ST,3148496,1684334,-104.9721763,39.71111419,3,312,Washington Park,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,Pickup Truck/Utility Van,West,Going Straight,Failed to Stop at Signal,Distracted/Other Interior,,Passenger Car/Passenger Van,North,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685449.24,4824050.733
298175170,2022443083,2.02244E+14,5441,0,TRAF - ACCIDENT               ,"8/28/2022, 11:42 AM","8/28/2022, 11:42 AM","8/28/2022, 12:31 PM",E ALAMEDA AVE / S PEARL ST,3146187,1684322,-104.9803837,39.71111779,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Downhill,Dry,Daylight,Passenger Car/Passenger Van,Northeast,Making Left Turn,Failed to Yield ROW,No Apparent Contributing Factor,,Passenger Car/Passenger Van,West,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686362.9,4824050.733
298175248,2022477637,2.02248E+14,5441,0,TRAF - ACCIDENT               ,"9/15/2022, 2:54 PM","9/15/2022, 2:54 PM","9/15/2022, 4:24 PM",E ALAMEDA AVE / S LOGAN ST,3145512,1684326,-104.9827828,39.71113934,3,312,Washington Park West,0,0,Front to Side,Wall or Building,,On Roadway,At Intersection,Straight - Level,Dry,Dark-Lighted,Passenger Car/Passenger Van,East,Going Straight,Careless Driving,Distracted Eating/Drinking,,SUV,South,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686630.43,4824054.316
298175304,2023469874,2.02347E+14,5441,0,TRAF - ACCIDENT               ,"8/31/2023, 3:49 AM","8/31/2023, 3:49 AM","8/31/2023, 3:49 AM",E ALAMEDA AVE / S CLARKSON ST,3146834,1684319,-104.978084,39.71109937,3,312,Washington Park West,0,0,Other Fixed Object (Describe in Narrative),Curb,Curb,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,,,,,,,0,0,,,,,,,-11686107.32,4824048.345
298175974,2022514712,2.02251E+14,5441,0,TRAF - ACCIDENT               ,"10/5/2022, 9:45 AM","10/5/2022, 9:45 AM","10/5/2022, 10:18 AM",E ALAMEDA AVE / S DOWNING ST,3148153,1684330,-104.9733956,39.71110867,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,East,Making Left Turn,Failed to Yield ROW,Distracted/Other Interior,,SUV,West,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685585.39,4824050.733
298176075,2022470943,2.02247E+14,5441,0,TRAF - ACCIDENT               ,"9/12/2022, 5:00 AM","9/12/2022, 5:00 AM","9/12/2022, 5:29 AM",S CLARKSON ST / E ALAMEDA AVE,3146834,1684319,-104.978084,39.71109937,3,312,Washington Park West,0,0,Parked Motor Vehicle,,Parked Motor Vehicle,On Roadway,Intersection Related,Straight - Level,Dry,Daylight,Pickup Truck/Utility Van,North,Out of Control,Careless Driving,Other Factor,,SUV,North,Parked,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686107.32,4824048.345
298176079,2022424198,2.02242E+14,5441,0,TRAF - ACCIDENT               ,"8/18/2022, 12:49 PM","8/18/2022, 12:49 PM","8/18/2022, 2:05 PM",300 BLOCK S LINCOLN ST,3144545,1684274,-104.9862209,39.71101165,3,312,Washington Park West,0,0,Front to Rear,,Front to Rear,On Roadway,Non-Intersection,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,Northeast,Entering Traffic Way/Merge,Careless Driving,Driver Inexperience,,Passenger Car/Passenger Van,North,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11687012.62,4824035.207
298176102,2023470236,2.02347E+14,5441,0,TRAF - ACCIDENT               ,"8/31/2023, 7:20 AM","8/31/2023, 7:20 AM","8/31/2023, 7:58 AM",S LOGAN ST / E ALAMEDA AVE,3145512,1684326,-104.9827828,39.71113934,3,312,Washington Park West,0,0,Side to Side-Same Direction,,Side to Side-Same Direction,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,North,Changing Lanes,Lane Violation,Distracted/Other Interior,,SUV,North,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686630.43,4824054.316
298176617,2022458615,2.02246E+14,5441,0,TRAF - ACCIDENT               ,"9/5/2022, 1:59 PM","9/5/2022, 1:59 PM","9/5/2022, 3:15 PM",S FRANKLIN ST / E ALAMEDA AVE,3149472,1684340,-104.9687071,39.71111504,3,312,Washington Park,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Uphill,Dry,Dawn or Dusk,Passenger Car/Passenger Van,North,Going Straight,Failed to Yield ROW,No Apparent Contributing Factor,,Passenger Car/Passenger Van,West,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685062.28,4824050.733
298176684,2022540569,2.02254E+14,5441,0,TRAF - ACCIDENT               ,"10/19/2022, 4:16 AM","10/19/2022, 4:16 AM","10/19/2022, 5:12 AM",S EMERSON ST / E ALAMEDA AVE,3147165,1684322,-104.9769075,39.71110238,3,312,Washington Park West,0,0,Front to Side,Front to Side,,,At Intersection,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,East,Going Straight,Failed to Stop at Signal,,,Passenger Car/Passenger Van,North,Going Straight,No Contributing Action,,,0,0,,,,,,,-11685975.94,4824048.345
298176986,2022503517,2.0225E+14,5441,0,TRAF - ACCIDENT               ,"9/29/2022, 9:15 AM","9/29/2022, 9:15 AM","9/29/2022, 9:15 AM",900 BLOCK E ALAMEDA AVE,3147247,1684297,-104.9766165,39.71103245,3,312,Washington Park West,0,0,Side to Side-Same Direction,Front to Rear,Front to Rear,On Roadway,Non-Intersection,Straight - Level,Dry,Daylight,"Medium/Heavy Trucks GVWR/GCWR between 10,001 and 16,000",East,Changing Lanes,Lane Violation,Looked/Did Not See,,Pickup Truck/Utility Van,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685943.69,4824038.79
298177511,2021354381,2.02135E+14,5441,0,TRAF - ACCIDENT               ,"6/22/2021, 8:00 AM","6/22/2021, 8:00 AM","6/22/2021, 8:49 AM",E ALAMEDA AVE / S CORONA ST,3147825,1684327,-104.9745615,39.71110565,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,North,Making Left Turn,Failed to Yield ROW,Distracted/Other Interior,,Passenger Car/Passenger Van,East,Going Straight,,No Apparent Contributing Factor,,0,0,,,,,,,-11685714.38,4824048.345
298177709,2023626315,2.02363E+14,5441,0,TRAF - ACCIDENT               ,"11/20/2023, 3:23 PM","11/20/2023, 3:23 PM","11/20/2023, 3:23 PM",S LINCOLN ST / E ALAMEDA AVE,3144503,1684327,-104.9863691,39.7111578,3,312,Washington Park West,0,0,Front to Front,,Front to Front,On Roadway,At Intersection,Straight - Level,Dry,Dark-Lighted,Passenger Car/Passenger Van,West,Going Straight,Careless Driving,Aggressive Driving,,Passenger Car/Passenger Van,East,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11687029.34,4824056.705
298177746,2021443803,2.02144E+14,5441,0,TRAF - ACCIDENT               ,"8/4/2021, 2:52 AM","8/4/2021, 2:52 AM","8/4/2021, 3:18 AM",800 BLOCK E ALAMEDA AVE,3146916,1684294,-104.9777931,39.71102944,3,312,Washington Park West,0,0,Side to Side-Same Direction,,Side to Side-Same Direction,On Roadway,At Intersection,Straight - Uphill,Dry,Daylight,Passenger Car/Passenger Van,East,Changing Lanes,Lane Violation,No Apparent Contributing Factor,,SUV,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686073.88,4824038.79
298178209,2022506901,2.02251E+14,5441,0,TRAF - ACCIDENT               ,"10/1/2022, 6:53 AM","10/1/2022, 6:53 AM","10/1/2022, 7:34 AM",E ALAMEDA AVE / S FRANKLIN ST,3149472,1684340,-104.9687071,39.71111504,3,312,Washington Park,0,0,Curb,,Curb,,Intersection Related,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,East,Changing Lanes,Lane Violation,Not Observed,,,,,,,,0,0,,,,,,,-11685062.28,4824050.733
298180329,2021503425,2.0215E+14,5401,0,TRAF - ACCIDENT - HIT & RUN   ,"9/1/2021, 8:13 AM","9/1/2021, 8:13 AM","9/1/2021, 9:20 AM",E ALAMEDA AVE / S DOWNING ST,3148153,1684330,-104.9733956,39.71110867,3,312,Washington Park West,0,0,Front to Rear,,Front to Rear,On Roadway,Intersection Related,Straight - Level,Dry,Daylight,,,,,,,Passenger Car/Passenger Van,East,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685585.39,4824050.733
298180348,2021542142,2.02154E+14,5441,0,TRAF - ACCIDENT               ,"9/20/2021, 7:11 AM","9/20/2021, 7:11 AM","9/20/2021, 7:11 AM",900 BLOCK E ALAMEDA AVE,3147247,1684297,-104.9766165,39.71103245,3,312,Washington Park West,0,0,Front to Rear,Front to Rear,Front to Rear,On Roadway,Intersection Related,Straight - Level,Dry,Daylight,Pickup Truck/Utility Van,East,Slowing,Followed Too Closely,Other Factor,,SUV,East,Slowing,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685943.69,4824038.79
298180451,2021686925,2.02169E+14,5441,0,TRAF - ACCIDENT               ,"12/6/2021, 6:00 AM","12/6/2021, 6:00 AM","12/6/2021, 6:19 AM",E ALAMEDA AVE / S PEARL ST,3146187,1684322,-104.9803837,39.71111779,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,East,Making Left Turn,Failed to Yield ROW,Distracted/Other Interior,,SUV,West,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686362.9,4824050.733
298181644,2022250242,2.02225E+14,5441,0,TRAF - ACCIDENT               ,"5/18/2022, 1:13 PM","5/18/2022, 1:13 PM","5/18/2022, 1:52 PM",E ALAMEDA AVE / S LOGAN ST,3145512,1684326,-104.9827828,39.71113934,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,West,Making Left Turn,Failed to Yield ROW,No Apparent Contributing Factor,,SUV,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686630.43,4824054.316
298181713,2022262177,2.02226E+14,5401,0,TRAF - ACCIDENT - HIT & RUN   ,"5/25/2022, 2:30 AM","5/25/2022, 2:30 AM","5/25/2022, 3:32 AM",S LOGAN ST / E ALAMEDA AVE,3145512,1684326,-104.9827828,39.71113934,3,312,Washington Park West,0,0,Side to Side-Same Direction,,Side to Side-Same Direction,On Roadway,At Intersection,Straight - Level,Dry,Daylight,Unknown (Hit and Run Only),,,,,,Passenger Car/Passenger Van,North,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686630.43,4824054.316
298181745,2022262943,2.02226E+14,5441,0,TRAF - ACCIDENT               ,"5/25/2022, 10:00 AM","5/25/2022, 10:00 AM","5/25/2022, 10:35 AM",S LINCOLN ST / E ALAMEDA AVE,3144503,1684327,-104.9863691,39.7111578,3,312,Washington Park West,0,0,Side to Side-Same Direction,,Side to Side-Same Direction,On Roadway,At Intersection,Straight - Level,Dry,Daylight,Passenger Car/Passenger Van,North,Changing Lanes,Lane Violation,Distracted/Other Exterior,,SUV,North,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11687029.34,4824056.705
298181901,2022329901,2.02233E+14,5420,0,TRAF - ACCIDENT - DUI/DUID    ,"6/29/2022, 1:46 PM","6/29/2022, 1:46 PM","6/29/2022, 2:12 PM",S CLARKSON ST / E ALAMEDA AVE,3146834,1684319,-104.978084,39.71109937,3,312,Washington Park West,0,0,Front to Side,Front to Side,Tree,On Roadway,Non-Intersection,Straight - Level,Dry,Daylight,Pickup Truck/Utility Van,South,Going Straight,Careless Driving,Other Factor,,Passenger Car/Passenger Van,South,Parked,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686107.32,4824048.345
298181990,202281446,2.02281E+13,5401,0,TRAF - ACCIDENT - HIT & RUN   ,"2/16/2022, 4:05 PM","2/16/2022, 4:05 PM","2/16/2022, 4:39 PM",1200 BLOCK E ALAMEDA AVE,3148238,1684306,-104.9730939,39.71104143,3,312,Washington Park,0,0,Front to Front,,Front to Front,On Roadway,Non-Intersection,Straight - Level,Icy,Dark-Lighted,Unknown (Hit and Run Only),West,Making Left Turn,Other Contributing Action,Not Observed,,Passenger Car/Passenger Van,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11685551.95,4824041.179
298182196,2021384710,2.02138E+14,5441,0,TRAF - ACCIDENT               ,"7/6/2021, 8:38 AM","7/6/2021, 8:38 AM","7/6/2021, 8:38 AM",S LINCOLN ST / E ALAMEDA AVE,3144503,1684327,-104.9863691,39.7111578,3,312,Washington Park West,0,0,Front to Side,,Front to Side,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,North,Going Straight,Failed to Stop at Signal,No Apparent Contributing Factor,,Passenger Car/Passenger Van,East,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11687029.34,4824056.705
298182286,2021578033,2.02158E+14,5441,0,TRAF - ACCIDENT               ,"10/8/2021, 9:57 AM","10/8/2021, 9:57 AM","10/8/2021, 9:57 AM",S LINCOLN ST / E ALAMEDA AVE,3144503,1684327,-104.9863691,39.7111578,3,312,Washington Park West,0,0,Side to Side-Same Direction,,Side to Side-Same Direction,On Roadway,At Intersection,Straight - Level,Dry,Daylight,SUV,North,Changing Lanes,Lane Violation,No Apparent Contributing Factor,,Passenger Car/Passenger Van,North,Going Straight,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11687029.34,4824056.705
298182824,2022275409,2.02228E+14,5441,0,TRAF - ACCIDENT               ,"6/1/2022, 6:15 AM","6/1/2022, 6:15 AM","6/1/2022, 6:15 AM",E ALAMEDA AVE / S LINCOLN SHERMAN ALY,3144669,1684327,-104.9857791,39.71115522,3,312,Washington Park West,0,0,Side to Side-Opposite Direction,,Side to Side-Opposite Direction,On Roadway,Intersection Related,Straight - Level,Wet,Daylight,"Medium/Heavy Trucks GVWR/GCWR between 10,001 and 16,000",West,Making Left Turn,Improper Passing on Left,Driver Inexperience,,SUV,East,Stopped in Traffic,No Contributing Action,No Apparent Contributing Factor,,0,0,,,,,,,-11686963.65,4824056.705
